LUMO values,NdValence dev,gllbsc_gap,NValence mean,Eneg dev,Periodic nature,GS dev,MeltT dev,MeltT mean,Spg dev,GS mean,Number dev,Weight dev,HOMO_energy,Mendeleev dev,CovRad dev
-0.160771,1.6528925619834711,3.17813432486,4.909090909090909,1.0909090909090908,105.61983471074382,12.915702479338846,596.4347107438017,601.5318181818183,105.61983471074382,20.01090909090909,8.52892561983471,18.51917355371901,-0.160771,35.371900826446286,50.87603305785125
-0.338381,2.644628099173554,6.06433363261,9.272727272727272,0.6439669421487604,72.19834710743802,2.1097520661157017,991.7328925619834,731.7345454545455,72.19834710743802,10.555454545454545,20.62809917355372,51.54324628099173,-0.338381,11.107438016528928,29.88429752066116
-0.338381,1.2244897959183674,5.14326273426,9.714285714285714,0.7918367346938775,88.57142857142857,3.679591836734695,1320.4897959183677,979.1428571428572,88.57142857142857,11.680714285714288,26.53061224489796,67.32591020408164,-0.338381,15.918367346938776,42.44897959183673
-0.273634,2.8264462809917354,3.83328775604,7.090909090909091,1.029421487603306,102.54545454545456,17.092314049586776,546.6069421487604,555.8563636363638,102.54545454545456,22.89409090909091,19.83471074380165,48.63054545454545,-0.273634,29.305785123966945,53.05785123966943
-0.338381,3.75,3.88107685304,7.0,1.0025,92.75,21.614166666675,283.15125,337.4775,92.75,30.719166666675,14.75,36.7728625,-0.338381,31.25,52.5
-0.338381,3.75,4.23331413389,7.0,1.0025,92.75,27.7996875,286.16,331.46,92.75,35.123125,18.0,43.80725,-0.338381,30.875,56.75
-0.304738,4.444444444444445,3.45731067286,10.666666666666666,0.9644444444444444,95.55555555555554,34.586666666666666,512.7555555555555,568.1966666666666,95.55555555555554,38.8425,25.111111111111114,64.99243066666666,-0.304738,32.22222222222222,52.888888888888886
-0.338381,0.0,8.12575363582,4.0,1.0583333333333331,97.33333333333331,12.226064814816668,686.4344444444445,669.3483333333334,97.33333333333331,17.55180555555,8.777777777777777,20.6861,-0.338381,35.0,40.44444444444445
-0.338381,0.8641975308641975,6.00311095683,4.444444444444445,1.1493827160493828,102.8395061728395,15.91037037037037,633.041975308642,547.1555555555556,102.8395061728395,22.55027777777778,13.555555555555555,33.049699047901235,-0.338381,34.93827160493827,58.76543209876544
-0.298706,5.0,1.4716624148,9.0,0.7849999999999999,73.375,4.244375,411.535,411.86,73.375,13.349375,15.5,36.3981,-0.298706,8.75,33.75
-0.298706,3.625,3.60425101929,6.5,0.8975,98.75,5.088749999999999,734.8325,789.6325,98.75,14.19375,13.0,30.831236,-0.298706,25.75,45.75
-0.338381,0.0,5.561189562,4.666666666666667,1.1333333333333333,96.44444444444446,24.21555555555556,420.0888888888889,369.8666666666666,96.44444444444446,27.26666666666667,21.33333333333333,53.92337777777777,-0.338381,34.666666666666664,66.22222222222223
